Year,Category,Contribution,Organization_name,Organization_City,Born,Died,Name,Born_country,Born_City,Died_Country,Died_City,Organization_Country,Gender,Life_Expectancy
1911,Peace,for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (ConfÇrences de Droit international privÇ) at the Hague and pioneer in the field of international legal relations,,,1838,1913,Tobias Asser,Netherlands,Amsterdam,Netherlands,the Hague,,M,75
1929,Peace,for his crucial role in bringing about the Briand-Kellogg Pact,,,1856,1937,Frank B. Kellogg,USA,Potsdam NY,USA,St. Paul MN,,M,81
1964,Peace,for his non-violent struggle for civil rights for the Afro-American population,,,1929,1968,Martin Luther King Jr.,USA,Atlanta GA,USA,Memphis TN,,M,39
1995,Peace,for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms,,,,,Pugwash Conferences on Science and World Affairs,,,,,,,
1968,Literature,for his narrative mastery which with great sensibility expresses the essence of the Japanese mind,,,1899,1972,Yasunari Kawabata,Japan,Osaka,Japan,Zushi,,M,73
1973,Literature,for an epic and psychological narrative art which has introduced a new continent into literature,,,1912,1990,Patrick White,United Kingdom,London,Australia,Sydney,,M,78
2001,Medicine,for their discoveries of key regulators of the cell cycle,Fred Hutchinson Cancer Research Center,Seattle WA,1939,,Leland Hartwell,USA,Los Angeles CA,,,USA,M,
1908,Physics,for his method of reproducing colours photographically based on the phenomenon of interference,Sorbonne University,Paris,1845,1921,Gabriel Lippmann,Luxembourg,Hollerich,,,France,M,76
1936,Physics,for his discovery of cosmic radiation,Innsbruck University,Innsbruck,1883,1964,Victor F. Hess,Austria,Peggau,USA,Mount Vernon NY,Austria,M,81
1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,Bell Telephone Laboratories,New York NY,1881,1958,Clinton Davisson,USA,Bloomington IL,USA,Charlottesville VA,USA,M,77
1943,Physics,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,Carnegie Institute of Technology,Pittsburgh PA,1888,1969,Otto Stern,Poland,Zory,USA,Berkeley CA,USA,M,81
1963,Physics,for their discoveries concerning nuclear shell structure,University of Heidelberg,Heidelberg,1907,1973,J. Hans D. Jensen,Germany,Hamburg,Germany,Heidelberg,Germany,M,66
1969,Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses,Massachusetts Institute of Technology (MIT),Cambridge MA,1912,1991,Salvador E. Luria,Italy,Turin,USA,Lexington MA,USA,M,79
1977,Medicine,for their discoveries concerning the peptide hormone production of the brain,The Salk Institute,San Diego CA,1924,,Roger Guillemin,France,Dijon,,,USA,M,
1981,Medicine,for his discoveries concerning the functional specialization of the cerebral hemispheres,California Institute of Technology (Caltech),Pasadena CA,1913,1994,Roger W. Sperry,USA,Hartford CT,USA,Pasadena CA,USA,M,81
1983,Medicine,for her discovery of mobile genetic elements,Cold Spring Harbor Laboratory,Cold Spring Harbor NY,1902,1992,Barbara McClintock,USA,Hartford CT,USA,Huntington NY,USA,F,90
1986,Medicine,for their discoveries of growth factors,Vanderbilt University School of Medicine,Nashville TN,1922,2020,Stanley Cohen,USA,Brooklyn NY,USA,Nashville TN,USA,M,98
1990,Medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease,Fred Hutchinson Cancer Research Center,Seattle WA,1920,2012,E. Donnall Thomas,USA,Mart TX,USA,Seattle WA,USA,M,92
1994,Medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,National Institute of Environmental Health Sciences,Research Triangle Park NC,1925,1998,Martin Rodbell,USA,Baltimore MD,USA,Chapel Hill NC,USA,M,73
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,Purdue University,West Lafayette IN,1935,2021,Ei-ichi Negishi,China,Changchun,USA,Indianapolis IN,USA,M,86
2010,Economics,for their analysis of markets with search frictions,London School of Economics and Political Science,London,1948,,Christopher A. Pissarides,Cyprus,Nicosia,,,United Kingdom,M,
2014,Economics,for his analysis of market power and regulation,Toulouse School of Economics (TSE),Toulouse,1953,,Jean Tirole,France,Troyes,,,France,M,
2018,Physics,for their method of generating high-intensity ultra-short optical pulses,êcole Polytechnique,Palaiseau,1944,,GÇrard Mourou,France,Albertville,,,France,M,
2020,Literature,for her unmistakable poetic voice that with austere beauty makes individual existence universal,,,1943,,Louise GlÅck,USA,New York NY,,,,F,
1974,Chemistry,for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules,Stanford University,Stanford CA,1910,1985,Paul J. Flory,USA,Sterling IL,USA,Big Sur CA,USA,M,75
1984,Chemistry,for his development of methodology for chemical synthesis on a solid matrix,Rockefeller University,New York NY,1921,2006,Bruce Merrifield,USA,Fort Worth TX,USA,Cresskill NJ,USA,M,85
1913,Medicine,in recognition of his work on anaphylaxis,Sorbonne University,Paris,1850,1935,Charles Richet,France,Paris,France,Paris,France,M,85
1934,Medicine,for their discoveries concerning liver therapy in cases of anaemia,Harvard University,Cambridge MA,1885,1950,George R. Minot,USA,Boston MA,USA,Brookline MA,USA,M,65
1935,Medicine,for his discovery of the organizer effect in embryonic development,University of Freiburg im Breisgau,Breisgau,1869,1941,Hans Spemann,Germany,Stuttgart,Germany,Freiburg im Breisgau,Germany,M,72
1950,Medicine,for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects,Mayo Clinic,Rochester MN,1886,1972,Edward C. Kendall,USA,South Norwalk CT,USA,Princeton NJ,USA,M,86
1959,Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,Stanford University,Stanford CA,1918,2007,Arthur Kornberg,USA,Brooklyn NY,USA,Stanford CA,USA,M,89
1963,Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,University College,London,1917,2012,Andrew Huxley,United Kingdom,Hampstead,United Kingdom,Grantchester,United Kingdom,M,95
1976,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Massachusetts Institute of Technology (MIT),Cambridge MA,1936,,Samuel C.C. Ting,USA,Ann Arbor MI,,,USA,M,
1983,Physics,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,California Institute of Technology (Caltech),Pasadena CA,1911,1995,William A. Fowler,USA,Pittsburgh PA,USA,Pasadena CA,USA,M,84
1926,Chemistry,for his work on disperse systems,Uppsala University,Uppsala,1884,1971,The Svedberg,Sweden,FlerÑng,Sweden,ôrebro,Sweden,M,87
1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes,Stockholm University,Stockholm,1873,1964,Hans von Euler-Chelpin,Germany,Augsburg,Sweden,Stockholm,Sweden,M,91
1932,Chemistry,for his discoveries and investigations in surface chemistry,General Electric Company,Schenectady NY,1881,1957,Irving Langmuir,USA,Brooklyn NY,USA,Falmouth MA,USA,M,76
1984,Physics,for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction,CERN,Geneva,1925,2011,Simon van der Meer,Netherlands,the Hague,Switzerland,Geneva,Switzerland,M,86
1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,Princeton University,Princeton NJ,1939,,Daniel C. Tsui,China,Henan,,,USA,M,
1950,Chemistry,for their discovery and development of the diene synthesis,Kiel University,Kiel,1876,1954,Otto Diels,Germany,Hamburg,Germany,Kiel,Germany,M,78
1932,Physics,for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen,Leipzig University,Leipzig,1901,1976,Werner Heisenberg,Germany,WÅrzburg,Germany,Munich,Germany,M,75
1944,Physics,for his resonance method for recording the magnetic properties of atomic nuclei,Columbia University,New York NY,1898,1988,Isidor Isaac Rabi,Poland,Rymanow,USA,New York NY,USA,M,90
1965,Chemistry,for his outstanding achievements in the art of organic synthesis,Harvard University,Cambridge MA,1917,1979,Robert B. Woodward,USA,Boston MA,USA,Cambridge MA,USA,M,62
1967,Chemistry,for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy,Royal Institution of Great Britain,London,1920,2002,George Porter,United Kingdom,Stainforth,United Kingdom,Canterbury,United Kingdom,M,82
1953,Medicine,for his discovery of the citric acid cycle,Sheffield University,Sheffield,1900,1981,Hans Krebs,Germany,Hildesheim,United Kingdom,Oxford,United Kingdom,M,81
1954,Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,Western Reserve University,Cleveland OH,1916,2003,Frederick C. Robbins,USA,Auburn AL,USA,Cleveland OH,USA,M,87
1962,Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,London University,London,1916,2004,Maurice Wilkins,New Zealand,Pongaroa,United Kingdom,London,United Kingdom,M,88
1963,Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,University of Cambridge,Cambridge,1914,1998,Alan Hodgkin,United Kingdom,Banbury,United Kingdom,Cambridge,United Kingdom,M,84
1961,Peace,for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter,,,1905,1961,Dag Hammarskjîld,Sweden,Jînkîping,Zambia,Ndola,,M,56
1976,Peace,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,,,1944,,Mairead Corrigan,Northern Ireland,Belfast,,,,F,
1999,Peace,in recognition of the organisation's pioneering humanitarian work on several continents,,,,,Doctors Without Borders,,,,,,,
1922,Literature,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,,,1866,1954,Jacinto Benavente,Spain,Madrid,Spain,Madrid,,M,88
1953,Literature,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,,,1874,1965,Winston Churchill,United Kingdom,Woodstock,United Kingdom,London,,M,91
1964,Literature,for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age,,,1905,1980,Jean-Paul Sartre,France,Paris,France,Paris,,M,75
1999,Literature,whose frolicsome black fables portray the forgotten face of history,,,1927,2015,GÅnter Grass,Poland,Gdansk,Germany,LÅbeck,,M,88
1970,Economics,for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science,Massachusetts Institute of Technology (MIT),Cambridge MA,1915,2009,Paul A. Samuelson,USA,Gary IN,USA,Belmont MA,USA,M,94
1995,Economics,for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy,University of Chicago,Chicago IL,1937,2023,Robert E. Lucas Jr.,USA,Yakima WA,USA,Chicago IL,USA,M,86
1972,Medicine,for their discoveries concerning the chemical structure of antibodies,University of Oxford,Oxford,1917,1985,Rodney R. Porter,United Kingdom,Newton-le-Willows,United Kingdom,Winchester,United Kingdom,M,68
1978,Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics,Biozentrum der UniversitÑt,Basel,1929,,Werner Arber,Switzerland,GrÑnichen,,,Switzerland,M,
2009,Chemistry,for studies of the structure and function of the ribosome,Yale University,New Haven CT,1940,2018,Thomas A. Steitz,USA,Milwaukee WI,USA,Branford CT,USA,M,78
2013,Medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,Yale University,New Haven CT,1950,,James E. Rothman,USA,Haverhill MA,,,USA,M,
2014,Chemistry,for the development of super-resolved fluorescence microscopy,Janelia Research Campus Howard Hughes Medical Institute,Ashburn VA,1960,,Eric Betzig,USA,Ann Arbor MI,,,USA,M,
2017,Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,University of Maine,Maine ME,1945,,Jeffrey C. Hall,USA,New York NY,,,USA,M,
2019,Physics,for theoretical discoveries in physical cosmology,Princeton University,Princeton NJ,1935,,James Peebles,Canada,Winnipeg,,,USA,M,
2002,Physics,for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources,Associated Universities Inc.,Washington D.C.,1931,2018,Riccardo Giacconi,Italy,Genoa,USA,La Jolla CA,USA,M,87
2002,Chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,Virginia Commonwealth University,Richmond VA,1917,2010,John B. Fenn,USA,New York NY,USA,Richmond VA,USA,M,93
2003,Physics,for pioneering contributions to the theory of superconductors and superfluids,Argonne National Laboratory,Argonne IL,1928,2017,Alexei Abrikosov,Russia,Moscow,,,USA,M,89
2005,Physics,for his contribution to the quantum theory of optical coherence,Harvard University,Cambridge MA,1925,2018,Roy J. Glauber,USA,New York NY,USA,Newton MA,USA,M,93
2005,Chemistry,for the development of the metathesis method in organic synthesis,Institut Franáais du PÇtrole,Rueil-Malmaison,1930,2015,Yves Chauvin,Belgium,Menin,France,Tours,France,M,85
2005,Economics,for having enhanced our understanding of conflict and cooperation through game-theory analysis,University of Jerusalem Center for RationalityHebrew,Jerusalem,1930,,Robert J. Aumann,Germany,Frankfurt-on-the-Main,,,Israel,M,
2007,Economics,for having laid the foundations of mechanism design theory,University of Minnesota,Minneapolis MN,1917,2008,Leonid Hurwicz,Russia,Moscow,USA,Minneapolis MN,USA,M,91
1923,Physics,for his work on the elementary charge of electricity and on the photoelectric effect,California Institute of Technology (Caltech),Pasadena CA,1868,1953,Robert A. Millikan,USA,Morrison IL,USA,San Marino CA,USA,M,85
1969,Physics,for his contributions and discoveries concerning the classification of elementary particles and their interactions,California Institute of Technology (Caltech),Pasadena CA,1929,2019,Murray Gell-Mann,USA,New York NY,USA,Santa Fe NM,USA,M,90
1996,Peace,for their work towards a just and peaceful solution to the conflict in East Timor,,,1948,,Carlos Filipe Ximenes Belo,East Timor,Wailacama,,,,M,
1901,Literature,in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect,,,1839,1907,Sully Prudhomme,France,Paris,France,ChÉtenay,,M,68
1903,Literature,as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit,,,1832,1910,Bjõrnstjerne Bjõrnson,Norway,Kvikne,France,Paris,,M,78
1916,Literature,in recognition of his significance as the leading representative of a new era in our literature,,,1859,1940,Verner von Heidenstam,Sweden,Olshammar,Sweden,ôvralid,,M,81
1954,Literature,for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style,,,1899,1961,Ernest Hemingway,USA,Oak Park IL,USA,Ketchum ID,,M,62
1955,Literature,for his vivid epic power which has renewed the great narrative art of Iceland,,,1902,1998,Halld¢r Laxness,Iceland,Reykjavik,Iceland,Reykjavik,,M,96
1989,Literature,for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability,,,1916,2002,Camilo JosÇ Cela,Spain,Iria Flavia,Spain,Madrid,,M,86
1996,Literature,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,,,1923,2012,Wislawa Szymborska,Poland,K¢rnik,Poland,Krak¢w,,F,89
1984,Economics,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,University of Cambridge,Cambridge,1913,1991,Richard Stone,United Kingdom,London,United Kingdom,Cambridge,United Kingdom,M,78
2000,Economics,for his development of theory and methods for analyzing discrete choice,University of California,Berkeley CA,1937,,Daniel L. McFadden,USA,Raleigh NC,,,USA,M,
1973,Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,University of Oxford,Oxford,1907,1988,Nikolaas Tinbergen,Netherlands,the Hague,United Kingdom,Oxford,United Kingdom,M,81
1975,Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Imperial Cancer Research Fund Laboratory,London,1914,2012,Renato Dulbecco,Italy,Catanzaro,USA,La Jolla CA,United Kingdom,M,98
1976,Medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,The Institute for Cancer Research,Philadelphia PA,1925,2011,Baruch S. Blumberg,USA,New York NY,USA,Moffett Field CA,USA,M,86
1997,Medicine,for his discovery of Prions - a new biological principle of infection,University of California School of Medicine,San Francisco CA,1942,,Stanley B. Prusiner,USA,Des Moines IA,,,USA,M,
1978,Physics,for his basic inventions and discoveries in the area of low-temperature physics,Academy of Sciences,Moscow,1894,1984,Pyotr Kapitsa,Russia,Kronshtadt,Russia,Moscow,Russia,M,90
1986,Physics,for their design of the scanning tunneling microscope,IBM Zurich Research Laboratory,RÅschlikon,1947,,Gerd Binnig,Germany,Frankfurt-on-the-Main,,,Switzerland,M,
1997,Physics,for development of methods to cool and trap atoms with laser light,Colläge de France,Paris,1933,,Claude Cohen-Tannoudji,Algeria,Constantine,,,France,M,
1910,Chemistry,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,Goettingen University,Gîttingen,1847,1931,Otto Wallach,Russia,Kaliningrad,Germany,Gîttingen,Germany,M,84
1945,Chemistry,for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method,University of Helsinki,Helsinki,1895,1973,Artturi Virtanen,Finland,Helsinki,Finland,Helsinki,Finland,M,78
2008,Chemistry,for the discovery and development of the green fluorescent protein GFP,Marine Biological Laboratory (MBL),Woods Hole MA,1928,2018,Osamu Shimomura,Japan,Kyoto,Japan,Nagasaki,USA,M,90
2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,,,1979,,Tawakkol Karman,Yemen,Ta'izz,,,,F,
2013,Chemistry,for the development of multiscale models for complex chemical systems,University of Southern California,Los Angeles CA,1940,,Arieh Warshel,Israel,Kibbutz Sde-Nahum,,,USA,M,
2014,Medicine,for their discoveries of cells that constitute a positioning system in the brain,University College,London,1939,,John O'Keefe,USA,New York NY,,,United Kingdom,M,
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,University of California,Santa Barbara CA,1954,,Shuji Nakamura,Japan,Ikata,,,USA,M,
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,University of Washington,Seattle WA,1934,2019,David J. Thouless,United Kingdom,Bearsden,United Kingdom,Cambridge,USA,M,85
2018,Medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,Kyoto University,Kyoto,1942,,Tasuku Honjo,Japan,Kyoto,,,Japan,M,
2019,Physics,for the discovery of an exoplanet orbiting a solar-type star,University of Geneva,Geneva,1966,,Didier Queloz,Switzerland,Geneva,,,Switzerland,M,
2019,Chemistry,for the development of lithium-ion batteries,Asahi Kasei Corporation,Tokyo,1948,,Akira Yoshino,Japan,Suita,,,Japan,M,
2020,Medicine,for the discovery of Hepatitis C virus,University of Alberta,Edmonton,,,Michael Houghton,United Kingdom,,,,Canada,M,
2021,Peace,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,,,1963,,Maria Ressa,Philippines,Manila,,,,F,
2021,Peace,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,,,,,Dmitry Muratov,Russia,Samara,,,,M,
1967,Chemistry,for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy,Max-Planck-Institut fÅr Physikalische Chemie,Gîttingen,1927,2019,Manfred Eigen,Germany,Bochum,Germany,Gîttingen,Germany,M,92
1976,Chemistry,for his studies on the structure of boranes illuminating problems of chemical bonding,Harvard University,Cambridge MA,1919,2011,William Lipscomb,USA,Cleveland OH,USA,Cambridge MA,USA,M,92
1985,Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures,The Medical Foundation of Buffalo,Buffalo NY,1917,2011,Herbert A. Hauptman,USA,New York NY,USA,Buffalo NY,USA,M,94
1994,Chemistry,for his contribution to carbocation chemistry,University of Southern California,Los Angeles CA,1927,2017,George A. Olah,Hungary,Budapest,USA,Los Angeles CA,USA,M,90
1910,Medicine,in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances,University of Heidelberg,Heidelberg,1853,1927,Albrecht Kossel,Germany,Rostock,Germany,Heidelberg,Germany,M,74
1958,Medicine,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,University of Wisconsin,Madison WI,1925,2008,Joshua Lederberg,USA,Montclair NJ,USA,New York NY,USA,M,83
1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism,,,1869,1938,Christian Lange,Norway,Stavanger,Norway,Oslo,,M,69
1926,Peace,for their crucial role in bringing about the Locarno Treaty,,,1862,1932,Aristide Briand,France,Nantes,France,Paris,,M,70
1975,Peace,for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations,,,1921,1989,Andrei Sakharov,Russia,Moscow,Russia,Moscow,,M,68
1984,Peace,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa,,,1931,2021,Desmond Tutu,South Africa,Klerksdorp,South Africa,Cape Town,,M,90
